text_id	sent_id	sent	start	end
1105	5	Поели рибай, после чего сделали вывод, что он был лучше, чем в некоторых стейк-хаусах.	366	452
1105	6	Любимый салат цезарь с креветками тоже был хорош.	453	502
1105	7	Порции большие, красивые тарелки, хорошее обслуживание.	503	558
1105	8	По обслуживание отдельно: есть официанты, которые работают с самого открытия-это тоже неплохой показатель качества.	559	674
1105	9	Шеф-повар тоже с самого открытия.	675	708
1105	10	Даже бизнес-ланч вкусный.	709	734
1105	11	По десертам ничего сказать не могу-не пробовала.	735	783
1105	12	"Интерьер достаточно спокойный, в бежево-коричневых тонах, но не дешевый, не скажешь, что это какое то кафе у ""черта на куличках""."	784	913
1105	13	А в этом заведении ни разу не было разочарований за все время-не вру!	914	983
1105	14	Это не реклама этого заведения и не какой нибудь пиар, так как не имею никакого отношения к этому заведению.	984	1092
1105	15	Просто давно хотелось сказать СПАСИБО!	1093	1131
1105	16	Хочется, чтобы вы располагались ближе к центру или в самом центре, так как живу уже в центре.	1132	1225
1105	17	Пожелание: оставайтесь на том же уровне!	1226	1266
1200	0	Праздновали день рождения,все понравилось, удалось найти место,которое сочетало бы в себе уютный интерьер (первый зал), вкусную еду,приятный персонал и оооочень демократичные цены ( на счет скидка 33% в честь дня рождения),но все таки было несколько очень странных моментов.1.	0	276
1200	1	Ресторан закрывается в половину 12, поэтому в какой то момент официант вежливо нам это сообщил,нас это не особо расстроило,мы поехали дальше танцевать,но все таки..	277	441
1200	2	в городе где любое заведение работает до последнего клиента немного странно .2.Вино.взяли	441	530
1200	3	белое сицилийское,понравилось,попросили еще такое же, его оказалось больше нет,взяли другое, и оно тоже было в одном экземпляре,взяли третье....	531	675
1200	4	3.	675	677
1200	5	Счет.как уже отметила цены настолько демократичные, что когда мне принесли счет я была сильно удивлена т.к. на компанию из 7человек,(все заказывали горячее+ 4 бутылки вина, салаты) счет чуть меньше 6тр.	678	880
1200	6	, но вот когда мне принесли этот самый счет на нем карандашом было написано 10%обслуживание и приплюсовано около 700 р.	880	999
1200	7	И уже итоговая сумма была дописана карандашом, я дала официантке банковскую карту на что она меня попросила счет который на чеке пробит оплатить картой,а обслуживание наличными.	1000	1177
1200	8	Мы конечно без проблем расплатились( чека за наличные естественно не принесли!),но это получается откровенное вымогание чаевых,а мы бы и так их оставили!!	1177	1331
1269	0	Добрый день!	0	12
1269	1	Хочу поделиться своими впечатлениями о свадьбе моей дочери Александры, которая проводилась в вашем ресторане 11 августа 2012 года.	13	143
1269	2	Знаете, если я скажу, что понравилось все, мне могут и не поверить.	144	211
1269	3	Но это на самом деле именно так.	212	244
1269	4	И замечательный интерьер, и красивая сервировка столов, и изумительная кухня, да еще с изысканным оформлением!	245	355
1269	5	А самое главное - это люди, которые здесь работают и с которыми мы общались по организации свадебного банкета.	356	466
1269	6	Это, в первую очередь, администратор Александр.	467	514
1269	7	Очень вежливый, доброжелательный, знающий свое дело.	515	567
1269	8	Все наши пожелания были им учтены.	568	602
1269	9	Еще хочется отметить девочку-официанта, которая работала по обслуживанию нашего банкета (к сожалению я не знаю ее имени).	603	724
1269	10	Умница!	725	732
1269	11	Незаметно убиралась лишняя посуда, появлялись новые блюда, напитки.	733	800
1269	12	И все это сопровождалось ее приветливой улыбкой.	801	849
1269	13	Спасибо вам огромное за вашу работу и такое теплое отношение к нам, вашим клиентам.	850	933
1269	14	Все наши гости присоединяются к моим словам и также выражают вам свою благодарность за этот вечер.	934	1032
1269	15	А наши молодожены просто в восторге от праздника, который мы все вместе устроили для них.	1033	1122
1269	16	Спасибо вам огромное!	1123	1144
1269	17	Успехов вам в вашей приятной работе!	1145	1181
1269	18	И побольше вам благодарных посетителей!	1182	1221
1269	19	С уважением, Татьяна.	1222	1243
1308	0	Вчера отмечали мамин день рождения компанией из 6 человек.	0	58
1308	1	Бронировали стол накануне, тогда же договорились, чтобы к нашему приходу уже подготовили закуски.	59	156
1308	2	Пришли немного раньше, но нас уже ждали :-) Нам настолько понравились закуски, что мы решили продегустировать все, что сможем, и заказали их в каких-то диких количествах, поэтому, к сожалению, не осталось места для горячего (я вообще шла за говядиной, но не получилось, значит, приедем еще))).	157	450
1308	3	На десерт заказали сорбе, его подача - целый ритуал!	451	503
1308	4	И вкус замечательный, у нас была земляника и манго.	504	555
1308	5	В целом, мы оооочень довольны, обязательно придем снова и на этот раз оставим место для мяса =) Спокойный и стильный интерьер, приятная атмосфера, внимательное, но ненавязчивое обслуживание, отличная еда - все на твердую 10!	556	780
1308	6	Марина и Катя, спасибо вам за отличный вечер, надеемся снова побывать у вас в гостях :-)	781	869
1427	0	Здравствуйте!Посетили ваше заведение вчера первый раз, проходя мимо никак не получалось зайти, до этого пару раз ужинали с семьей на невском, остались не очень довольны обслуживанием.	0	183
1427	1	Хочу вам сказать,что посещение вашего заведения на марата изменило мое отношение в наилучшую сторону.	184	285
1427	2	Зашли к вам вечером,уставшие, оказалось что все залы забиты а на веранде все же прохладно сидеть с ребенком, встретил нас молодой человек предложил несколько столов куда можно было присесть,Проводила нас до столика уже девушка(имени к сожалению не запомнила) судя по внешнему виду администратор,она же и подала меню,что больше всего удивило нам налили абсолютно бесплатной воды по бокалам, было очень приятно.	285	694
1427	3	На невском проспекте, за 2 моих посещения я даже и не знала что у вас такое предусмотрено.	694	784
1427	4	Обслуживание ненавязчивое, почувствовали себя как дома.	784	839
1427	5	Обычно любим покушать где нибудь по вечерам и даже немного удивлена, что администратор помогает в выборе,обычно где ни крути это тени мелькающие в зале возле кассы,что то бормочащие официантам..	840	1034
1427	6	Принес нам заказ молодой человек,буквально через минут 20 горячее.а еще и живая музыка началась.	1035	1131
1427	7	В общем вечер прошел на ура.	1131	1159
1427	8	Отдельное спасибо девушке за приятную атмосферу и молодому человеку, таких сотрудников и хочется видеть в питерских заведениях.	1159	1286
1427	9	Думаю еще не раз вас посетим	1287	1315
1434	0	Я как-то увидела, что на месте не безызвестного магазина открылся новый ресторан.	0	81
1434	1	Вид через окно с Невского меня заставил туда заглянуть.	82	137
1434	2	И интерьер меня не разочаровал,а, наоборот, очень обрадовал.	138	198
1434	3	Очень красивое и уютное место.	199	229
1434	4	Обслуживающий персонал очень приятный.	230	268
1434	5	Нашему официанту пришлось много нам объяснять, так как с азиатской такой кухней я не знакома была.	269	367
1434	6	Но он много предлагал, описывал, помог выбрать.	368	415
1434	7	Я и моя подруга были очень довольны этим выбором.	416	465
1434	8	Я взяла кокосовый суп с морепродуктами.	466	505
1434	9	Он был острый, но, как я поняла, это особенность кухни.	506	561
1434	10	Но то люблю острое и была в восторге от блюда.	562	608
1434	11	Подруга заказала салат с апельсинами, рукколой и лососем, а на десерт мы брали манговый мусс и лимонный десерт.	609	720
1434	12	Нам все очень понравилось.	721	747
1434	13	Было безумно вкусно!!!!Советую всем обязательно посетить это заведение!!!!	748	822
1511	0	Являясь с другом, большими поклонниками итальянской кухни, не могли не посетить данное место.	0	93
1511	1	Был будний день, на входе нас встретила замученная девушка, сказав что мест нету...	94	177
1511	2	оглядевшись и правда все столики были заняты.	178	223
1511	3	Мы решили не сдаваться, и предложили подождать, если какой-нибудь столик освободится)	224	309
1511	4	Она тут же сказала, что есть столики внизу, но там пока нет света...	310	378
1511	5	в течении этого разговора свет внизу включили и нас проводили вниз...	379	448
1511	6	Сели за столик для двоих, рядом сидела шумная компания, и вообще в целом было очень шумно.	449	539
1511	7	Меню...несколько заламинированных листочков: очень много паст, пицц, и мало салатов и закусок.	540	634
1511	8	Не разбирающемуся в итальянской кухне человеку, будет очень трудно его понять.	635	713
1511	9	Очень маленький выбор вина.	714	741
1511	10	Официант подошел довольно быстро, принял заказ.	742	789
1511	11	Напитки тоже подали быстро.	790	817
1511	12	Кофе капуччино, в большой кружке, очень хорош, шампанское не плохое.	818	886
1511	13	Кухня... нам не понравилась.	887	915
1511	14	Не буду вдаваться в подробности По сравнению с другими итальянскими ресторанами, где мы кушали(пробка групп, итали групп) вообще не сравнимо.	916	1057
1511	15	Но с другой стороны цена соответствует качеству.	1058	1106
1511	16	Это не ресторан, а кафе.	1107	1131
1511	17	Впечатление в целом довольно приятное.	1132	1170
1515	0	Добрый день всем!	0	17
1515	1	В ресторан МИСО на московском ходим с коллегами обедать практически каждый день, обычно компания 5-6 человек, до этого инцидента мы были очень довольны кухней и обслуживанием, прекрасный интерьер и атмосфера, но в очередной наш ланч был добавлен человеческий волос!!!!!!	18	288
1515	2	Черный и плотный, прекрасно намотанный на кусочек мяса, который попал мне в рот.	289	369
1515	3	Хорошее настроение ушло вместе с аппетитом.	370	413
1515	4	Конечно мне предложили заменить блюдо, но желание есть больше не было!	414	484
1515	5	Не думаю, что в ближайшее время у меня, либо у моих коллег появится желание посещать данное заведение.	485	587
1749	0	Хорошее место, где можно посидеть большой компанией и отлично отдохнуть.	0	72
1749	1	Пару дней назад заходили туда с друзьями.	73	114
1749	2	Мы заняли столик, и через 5 минут официант принял у нас заказ.	115	177
1749	3	Меню очень большое, так что есть чем себя побаловать.	178	231
1749	4	Большой выбор десертов!	232	255
1749	5	Я взяла себе тирамису, просто обалденный!	256	297
1749	6	Такой я пробовала только в Италии, на удивление торт оказался нежный и воздушный, просто пальчики оближешь!	298	405
1749	7	А вот вторые блюда ждали мы минут 30 - это, конечно, не есть хорошо, но оно того стоило!	406	494
1749	8	Друг заказал стейк рибай, по его словам, он был просто изумительный, а вот подруга заказала себе свиную рульку, она была суховата.	495	625
1749	9	Стоит отметить, что цены у них приемлемые, не сказать что очень дорого.	626	697
1749	10	Обслуживание, конечно, оставляет желать лучшего, хотелось бы, чтобы официанты работали быстрей, но так как народу было много, мы старались входит в их положение.	698	859
1749	11	В общей сложности хороший паб, пропитанный футбольной тематикой.	860	924
1749	12	На мой взгляд, отличное место для посиделок шумной компанией.	925	986
1751	0	Ну вот посетила Чаплин-холл, поделюсь впечатлениями.	0	52
1751	1	Заведение хорошее, сказать, что это ресторан было бы не совсем корректно, это даже скорее концертный зал с возможностью заказать еду и напитки.	53	196
1751	2	Зал очень просторный и атмосферный, свободного места предостаточно.	197	264
1751	3	Удобные столики на небольшую компанию друзей-знакомых.	265	319
1751	4	Меню достаточно разнообразное, есть отдельное меню японской кухни, ну это на любителя.	320	406
1751	5	Я, например, больше предпочитаю традиционную кухню.	407	458
1751	6	Есть смешанные блюда, вот например, так любимая русским человеком сельдь под шубой…	459	542
1751	7	с крабом.	542	551
1751	8	Ее не пробовала, просто название зацепило.	552	594
1751	9	Попробовала палтуса запеченного – хорош, да и красиво смотрится на тарелке.	595	670
1751	10	Правда, эта самая тарелка уж как-то намного больше самого палтуса.	671	737
1751	11	Видимо так принято)	738	757
1751	12	Салат грибной тоже хорош, порция достойная.	758	801
1751	13	Кофе-десерт – тоже без претензий, все вкусно.	802	847
1751	14	Итого приятный вечер, в хорошей компании в хорошем месте.	848	905
1751	15	Мне понравилось!	906	922
1878	0	Был недавно в этом ресторане с друзьями днем, все очень понравилось.	0	68
1878	1	Встретили, предложили выбрать столик, народу было немного, атмосфера приятная.	69	147
1878	2	Сразу подошла официантка, с темными волосами, к сожалению имя не запомнил, обслуживание в ресторане отличное, тут ничего не скажешь!	148	280
1878	3	На мою просьбу помочь выбрать блюдо, девушка с радостью предложила нам пару салатиков и горячее, готовили все очень быстро и все блюда были обалденно вкусными.	281	440
1878	4	Очень рад что приехал сюда, хоть и находится далековато,но я ни разу не пожалел, буду советовать всем своим друзьям это заведение.	441	571
2006	0	В этом ресторане мы отмечали десятую годовщину свадьбы.	0	55
2006	1	Мы и наши гости остались очень довольны обслуживанием и вкусно приготовленными блюдами.	56	143
2006	2	В ресторане спокойная, уютная атмосфера.	144	184
2006	3	Особенно мне понравилось как вкусно был приготовлен десерт тирамису.	185	253
2006	4	Такого вкусного десерта я не ела ни в одном ресторане.	254	308
2006	5	Ушли мы оттуда в хорошем настроении и отдохнувшие.	309	359
2006	6	Скоро день рождения у мужа и мы будем его отмечать здесь.	360	417
2073	0	"Три дня назад отмечали в этом ""ресторане"" день рождения."	0	56
2073	1	Сегодня решила почитать отзывы по этому заведению, так как вечер был просто испорчен.	57	142
2073	2	Складывается такое впечатление, что мы были где-то в другом месте.	143	209
2073	3	Да, неплохой интерьер, неплохая кухня... но все остальное просто ужас.	210	280
2073	4	Во-первых такого отвратительного обслуживания я не видела нигде.	281	345
2073	5	На весь ресторан работала одна официантка, что само по себе странно.	346	414
2073	6	Если бы она просто не справлялась с обилием заказов, то еще как то извинительно, но она не очень то и старалась.	415	527
2073	7	Например вино нам несли 20 мин.	528	559
2073	8	, курить мы выходили на улицу, где для этого стоят кресла и столик, попросили ее принести пепельницу... она пообещала, но до конца нашего застолья так этого и не сделала.	559	729
2073	9	На закуску мы среди прочего заказывали оливки, так их нам принесли почти в конце вечера, про один заказ она вообще забыла, на что просто извинилась.	730	878
2073	10	Отдельная история - живая музыка.	879	912
2073	11	Хороший певец, с хорошим голосом... но для такого маленького помещения - это просто тихий ужас.	913	1008
2073	12	Разговаривать было невозможно не только с другим концом стола, но и соседей справа-слева приходилось переспрашивать.	1009	1125
2073	13	Соглашусь, на вкус и цвет товарищей нет, но я в этот ресторан больше ни ногой и всех своих друзей обязательно предупрежу	1126	1246
2089	0	Пиво, конечно, вкусное..	0	24
2089	1	но обслуживание - нет.	25	47
2089	2	заказали тарелку к пиву, чтобы пиво было с чем пить и мясо.	48	107
2089	3	Тарелку к пиву принесли, когда уже взяли по 2 кружке пива.	108	166
2089	4	Если заведение всеж называет себя рестораном, то будьте добры хотя бы горячее приносить всем одновременно!	167	273
2089	5	Компания из 4 человек, каждый получал свою порцию через длительное время, хотя некоторые блюда были одинаковы..	274	385
2089	6	Мясо оооочень долго ждали, причем принесли сначала гарнир, а через минут 40 мясо.	386	467
2089	7	Причем на вопрос почему так, девушка сказала: ну я же вам принесла гарнир, а вы его съели...	468	560
2089	8	вот вам мясо))))))))))	561	583
2107	0	Случайно зашли в это заведение с друзьями.	0	42
2107	1	Сделали заказ.	43	57
2107	2	Мы сидели на улице, на втором этаже в это время проходил банкет.	58	122
2107	3	Попросили плед.	123	138
2107	4	Прошло 15 минут - ни пледа, ни официанта.	139	180
2107	5	Сходили сами, забрали пледы.	181	209
2107	6	Чай принесли спустя минут 10 после заказа.	210	252
2107	7	Потом, спустя минут 20 принесли 1 салат.	253	293
2107	8	Прошло еще минут 20 принесли 1 горячее (заказ был сделан на 6-х человек).	294	367
2107	9	И вот так весь вечер (кто из друзей ел, а кто-то просто ждал) - в общем, свое блюдо я получила спустя 1 час 40 минут после заказа (овощи, приготовленные на углях, можно было бы приготовить побыстрее) и после 3 походов моего мужа к официанту.	368	609
2107	10	Порции, заявленные в меню явно, не соответствуют действительному размеру - такой порцией и ребенка не накормишь!	610	722
2107	11	Не советую никому!	723	741
2168	0	Вчера заходили с подругой перекусить вечером.	0	45
2168	1	Персонал действительно очень приятный, все рассказывают, показывают, улыбаются, двери открывают.	46	142
2168	2	На второй этаж нам подняться не предложили, там курят.	143	197
2168	3	Как я поняла, все самые лучшие места всегда для курящих , к сожалению.	198	268
2168	4	На первом этаже открытая кухня, все выложено плиточкой и много столов - не очень уютно, но интерьер и правда интересный, хотя бы что-то оригинальное для такого формата.	269	437
2168	5	Из еды по наводке из предыдущего отзыва взяла шаверму с курицей (270 р) - без восторга, слишком много теста и как-то пресновато, картофель фри к ней понравился больше самой шавермы.	438	619
2168	6	Еще попробовала лапшу с креветками (360 р), она понравилась.	620	680
2168	7	Порция могла бы быть и побольше, конечно, но это в идеале) Немного странное хрустящее нечто украшало блюдо сверху, вкуса не было, так и не поняла, что это было и зачем его положили) Пила молочный улун (180 р) про него сказать нечего, кроме того что готовился он минут 20-25 примерно, как и минералка.	681	981
2168	8	Еду принесли, а напитков все не было, пришлось вежливо напомнить и все появилось.	982	1063
2168	9	Для зайти перекусить и убежать - хорошее место в самом центре, если будут обслуживать побыстрее)	1064	1160
2364	0	"Вчера ходили на свадьбу к подруге, отмечали в ресторане ""Долина""."	0	65
2364	1	Вечер вообще был супер!!	66	90
2364	2	Очень красиво и оформлены столы были.	91	128
2364	3	И кухня вкусная, а интерьер...	129	159
2364	4	Очень уютно и красиво, и не обычно.	160	195
2364	5	Атмосфера была отличная, здорово повеселились!!	196	243
2364	6	И обслуживание официантов понравилось, т.	244	285
2364	7	к. они не навязчивы и не заметны, но не смотря на это бокалы всегда были полны, посуда убрана вовремя.	286	388
2364	8	Молодцы ребята.	389	404
2364	9	:) В общем, мне там очень понравилось, с удовольствием еще туда схожу провести вечер.	405	490
2364	10	Заведение отличное!!	491	511
2364	11	Даже не поленилась зайти на сайт и оставить свой отзыв. ))	512	570
2468	0	Итак, начну с конца.	0	20
2468	1	ПОНРАВИЛОСЬ ВСЁ!!!	21	39
2468	2	Наверное, я консерватор, т.к. люблю заведения именно такого плана: хороший интерьер, негромкая музыка, спокойная атмосфера, вежливый и учтивый персонал.	40	192
2468	3	Решил отметить свой день рождения недалеко от дома.	193	244
2468	4	Долго выбирал местечко....	245	271
2468	5	Чтоб пешком дойти, ребёнка пристроить в детскую комнату, ну и по отзывам чтоб было более-менее.	272	367
2468	6	Выбор пал именно на этот ресторанчик.	368	405
2468	7	Зал был пуст наполовину, девушка сама предложила местечко в углу для нас (я, супруга и сын 6 лет).	406	504
2468	8	Блюда, которые заказали, понравились все без исключения.	505	561
2468	9	"Супруге понравилось приготовленные овощи, салаты ""Цезарь"" тоже на славу, лосось -без вопросов и т.д."	562	662
2468	10	Официантка следила за столом и вовремя меняла пепельницу и добавляла вина, т.е. сервис как он должен быть - в классическом стиле.	663	792
2468	11	Вот посидел, подумал....	793	817
2468	12	Ну не знаю какие минусы найти!	818	848
2468	13	Всё здорово.	849	861
2468	14	Были здесь первый раз и, точно, не последний!	862	907
2495	0	Добрый день!	0	12
2495	1	Были вчера с друзьями в этом кафе!	13	47
2495	2	Очень понравилось!	48	66
2495	3	Огромное спасибо поварам, очень вкусные блюда!!!!!	67	117
2495	4	Заказывали бивштексы, нет слов как вкусно)))	118	162
2495	5	Готовят очень быстро и главное качественно, сразу чувствуется, что там работают мастера своего дела!	163	263
2495	6	Спасибо огромное за хорошее обслуживание, приятную атмосферу и гостеприимных официантов!	264	352
2495	7	Надеемся еще не раз посетить это замечательное, уютное место с великолепной кухней и доброжелательным персоналом.	353	466
2606	0	Только пришла из этого заведения.	0	33
2606	1	Хочу рассказать, чтобы другим осталось на заметку....	34	87
2606	2	Местечко уютное, интерьер - интересный и качественно сделанный, кухня хорошая.	87	165
2606	3	Пришли, по-началу было все хорошо, официантка принесла меню сразу же, через пару минут подошла взять заказ, через минут 5 принесла пиво, еще через 5 закуски, на этом все приятное закончилось.	166	357
